Minutes,Hours,Temperature,Well,OD_reading,Isolate,MIC,Conc_ppm,Condition,Avg,reps
1880,31.33333333333333,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1890,31.5,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1900,31.66666666666667,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1910,31.83333333333333,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1920,32,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1930,32.16666666666666,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1940,32.33333333333334,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1950,32.5,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1960,32.66666666666666,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1970,32.83333333333334,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1980,33,37,A1,0.0726,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
1990,33.16666666666666,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2000,33.33333333333334,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2010,33.5,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2020,33.66666666666666,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2030,33.83333333333334,37,A1,0.0746,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2040,34,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2050,34.16666666666666,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2060,34.33333333333334,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2070,34.5,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2080,34.66666666666666,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2090,34.83333333333334,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2100,35,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2110,35.16666666666666,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2120,35.33333333333334,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2130,35.5,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2140,35.66666666666666,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2150,35.83333333333334,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2160,36,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2170,36.16666666666666,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2180,36.33333333333334,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2190,36.5,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2200,36.66666666666666,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2210,36.83333333333334,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2220,37,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2230,37.16666666666666,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2240,37.33333333333334,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2250,37.5,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2260,37.66666666666666,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2270,37.83333333333334,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2280,38,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2290,38.16666666666666,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2300,38.33333333333334,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2310,38.5,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2320,38.66666666666666,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2330,38.83333333333334,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2340,39,37,A1,0.0725,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2350,39.16666666666666,37,A1,0.0743,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2360,39.33333333333334,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2370,39.5,37,A1,0.0725,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2380,39.66666666666666,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2390,39.83333333333334,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2400,40,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2410,40.16666666666666,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2420,40.33333333333334,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2430,40.5,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2440,40.66666666666666,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2450,40.83333333333334,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2460,41,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2470,41.16666666666666,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2480,41.33333333333334,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
2490,41.5,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
